"","ID","Team","Opponent","Half","Minute","Event_Type","Start_X","Start_Y","End_X","End_Y","GLS","Linebreak","Prior_GLS","Type","Pass_Receipt","Source","Defenders_Infront","Distance","pitch_location"
"123","13","Anselmians","Manchester","First Half",00:32:31,"Carry",94.86,69.38,99.88,68.7,"GLS",1,0,"Other",NA,"Multi-Phase",NA,5.07,"Opposition 22"
"124","17","Anselmians","Manchester","First Half",00:34:03,"Carry",24.63,4.41,24.63,14.4,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,9.99,"Own 22 to Halfway"
"125","1","Anselmians","Manchester","First Half",00:34:14,"Carry",19.83,25.28,24.21,31.12,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,7.3,"Own 22"
"126","19","Anselmians","Manchester","First Half",00:35:34,"Carry",56.82,53.11,60.79,55.46,"No GLS",0,0,"Other",NA,"Lineout",NA,4.61,"Halfway to Opposition 22"
"127","7","Anselmians","Manchester","First Half",00:35:40,"Carry",57.24,51.54,60.16,50.19,"No GLS",0,0,"One Out",NA,"Multi-Phase",NA,3.22,"Halfway to Opposition 22"
"128","14","Anselmians","Manchester","First Half",00:38:03,"Carry",30.9,15.75,36.96,18.55,"No GLS",0,0,"Kick Return",NA,"Multi-Phase",NA,6.68,"Own 22 to Halfway"
"129","17","Anselmians","Manchester","First Half",00:39:25,"Carry",3.52,52.77,8.54,44.92,"No GLS",0,0,"Kick Return",NA,"Lineout",NA,9.32,"Own 22"
"130","19","Anselmians","Huddersfield","Second Half",00:56:22,"Carry",48.45,48.53,49.83,48.53,"GLS",0,1,"One Out","On Target","Lineout",NA,1.38,"Own 22 to Halfway"
"131","8","Anselmians","Huddersfield","Second Half",00:56:30,"Carry",46.82,42.01,49.58,38.87,"GLS",0,1,"One Out","On Target","Multi-Phase",NA,4.18,"Own 22 to Halfway"
"132","8","Anselmians","Huddersfield","Second Half",00:58:53,"Carry",44.81,19.19,57.85,13.91,"No GLS",0,0,"Kick Return","On Target","Multi-Phase",NA,14.07,"Own 22 to Halfway"
"133","15","Anselmians","Huddersfield","Second Half",00:59:06,"Carry",44.81,39.88,66.5,67.42,"GLS",0,0,"Other","On Target","Multi-Phase",NA,35.06,"Own 22 to Halfway"
"134","1","Anselmians","Huddersfield","Second Half",00:59:15,"Carry",64.24,53.82,68.01,54.94,"GLS",0,0,"Other","On Target","Multi-Phase",NA,3.93,"Halfway to Opposition 22"
"135","2","Anselmians","Huddersfield","Second Half",00:59:22,"Carry",61.24,36.84,64.24,36.62,"No GLS",0,0,"Other","On Target","Multi-Phase",NA,3.01,"Halfway to Opposition 22"
"136","14","Anselmians","Huddersfield","Second Half",00:59:33,"Carry",65.87,3.90000000000001,69.51,14.92,"GLS",0,0,"Other","On Target","Multi-Phase",NA,11.61,"Halfway to Opposition 22"
"137","17","Anselmians","Huddersfield","Second Half",00:59:38,"Carry",65.5,19.19,73.02,20.65,"GLS",0,0,"One Out","On Target","Multi-Phase",NA,7.66,"Halfway to Opposition 22"
"138","5","Anselmians","Huddersfield","Second Half",00:59:46,"Carry",69.89,49.32,76.03,48.76,"GLS",0,0,"Other","On Target","Multi-Phase",NA,6.17,"Halfway to Opposition 22"
"139","9","Anselmians","Huddersfield","Second Half",01:00:46,"Carry",58.1,65.4,59.61,66.97,"No GLS",0,0,"Other",NA,"Multi-Phase",NA,2.18,"Halfway to Opposition 22"
"140","7","Anselmians","Huddersfield","Second Half",01:00:54,"Carry",56.6,62.59,59.1,59.78,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,3.76,"Halfway to Opposition 22"
"141","5","Anselmians","Huddersfield","Second Half",01:01:02,"Carry",59.48,59.22,61.49,55.84,"GLS",0,0,"Pick & Go",NA,"Multi-Phase",NA,3.93,"Halfway to Opposition 22"
"142","17","Anselmians","Huddersfield","Second Half",01:01:07,"Carry",55.34,49.43,59.73,47.64,"No GLS",0,0,"One Out","On Target","Multi-Phase",NA,4.74,"Halfway to Opposition 22"
